nomfiche;catenjeux;codecouleur;numfiche;typeaction;constat;objectif;ccible;objmoyen;factreu;porteur;intervenant;planning;impacts;indicateurs;indicateurs_tp;cinvestdet;cinvestchi;cfonctiondet;cfonctionchi;periodicite;tellmemore
Introduction au plan d'actions;Introduction au plan d'actions;#48D1CC;00_;GENERAL;;;;;;;;;;;;;;;;;
Encourager les modes actifs;Favoriser les modes actifs;#32CD32;01_;GENERAL;;;;;;;;;;;;;;;;;
Animer sur les modes actifs;Favoriser les modes actifs;#32CD32;01-01-01_;SENSIBILISER;;;;;;;;;;;;;;;;;
Communiquer sur les actions modes actifs et l'Indemnité Kilométrique Vélo (IKV);Favoriser les modes actifs;#32CD32;01-01-03_;SENSIBILISER;;;;;;;;;;;;;;;;;
Informer sur les aménagements existants pour les modes actifs par une cartographie;Favoriser les modes actifs;#32CD32;01-01-04_;SENSIBILISER;;;;;;;;;;;;;;;;;
Promouvoir les services pour les vélos à assistance électrique (VAE);Favoriser les modes actifs;#32CD32;01-01-05_;SENSIBILISER;;;;;;;;;;;;;;;;;
Inciter à la marche;Favoriser les modes actifs;#32CD32;01-01-06_;SENSIBILISER;;;;;;;;;;;;;;;;;
Développer l'usage du vélo;Favoriser les modes actifs;#32CD32;01-02-01_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Indemnité Kilométrique Vélo (IKV);Favoriser les modes actifs;#32CD32;01-02-02_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Participer aux abonnements pour la location de vélos;Favoriser les modes actifs;#32CD32;01-02-03_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Développer des stationnement vélos;Favoriser les modes actifs;#32CD32;01-02-04_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Mettre en place des douches pour les modes actifs;Favoriser les modes actifs;#32CD32;01-02-05_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Rendre accessible, sécuriser, jalonner pour les modes actifs;Favoriser les modes actifs;#32CD32;01-02-06_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Développer les services vélos;Favoriser les modes actifs;#32CD32;01-02-07_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Mettre à disposition des vélos, vélos à assistance électrique ou trotinettes de service.;Favoriser les modes actifs;#32CD32;01-02-08_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Mettre en place des cours de vélo urbain;Favoriser les modes actifs;#32CD32;01-02-09_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Participer à l'achat de matériel pour les modes actifs;Favoriser les modes actifs;#32CD32;01-02-10_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Promouvoir les axes prioritaires pour les modes actifs auprès de la collectivité;Favoriser les modes actifs;#32CD32;01-03-01_;PERENNISER;;;;;;;;;;;;;;;;;
Accompagner les salariés testeurs des modes actifs;Favoriser les modes actifs;#32CD32;01-03-02_;PERENNISER;;;;;;;;;;;;;;;;;
Favoriser l'usage des transports collectifs;Favoriser l'usage des transports collectifs;#2F4F4F;02_;GENERAL;;;;;;;;;;;;;;;;;
Créer un évènementiel pour l'inauguration d'un transport en commun;Favoriser l'usage des transports collectifs;#2F4F4F;02-01-01_;SENSIBILISER;;;;;;;;;;;;;;;;;
Faire une information régulière sur les transports en commun;Favoriser l'usage des transports collectifs;#2F4F4F;02-01-02_;SENSIBILISER;;;;;;;;;;;;;;;;;
Communiquer sur la ponctualité des transports en commun;Favoriser l'usage des transports collectifs;#2F4F4F;02-01-03_;SENSIBILISER;;;;;;;;;;;;;;;;;
Préparer l'arrivée d'une nouvelle offre de transports en commun et communiquer dessus;Favoriser l'usage des transports collectifs;#2F4F4F;02-01-05_;SENSIBILISER;;;;;;;;;;;;;;;;;
Faire une réunion d'échanges sur la desserte des transports en commun;Favoriser l'usage des transports collectifs;#2F4F4F;02-01-07_;SENSIBILISER;;;;;;;;;;;;;;;;;
Mettre en place un outil d'information sur les transports en commun en temps réel ;Favoriser l'usage des transports collectifs;#2F4F4F;02-01-08_;SENSIBILISER;;;;;;;;;;;;;;;;;
Améliorer le réseau de bus urbains;Favoriser l'usage des transports collectifs;#2F4F4F;02-02-01_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Créer une navette privée;Favoriser l'usage des transports collectifs;#2F4F4F;02-02-02_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Favoriser l'utilisation des navettes aéroport lors des déplacements professionnels;Favoriser l'usage des transports collectifs;#2F4F4F;02-02-03_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Distribuer des tickets de transports en commun pendant les pics de pollution;Favoriser l'usage des transports collectifs;#2F4F4F;02-02-04_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Rembourser l'abonnement des transports en commun au-delà de 50%;Favoriser l'usage des transports collectifs;#2F4F4F;02-02-05_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Proposer la garantie retour en cas de problème dans les transports en commun. ;Favoriser l'usage des transports collectifs;#2F4F4F;02-02-06_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Suivre la fréquentation des transports en commun;Favoriser l'usage des transports collectifs;#2F4F4F;02-03-01_;PERENNISER;;;;;;;;;;;;;;;;;
Participer à la réflexion de la collectivité sur les transports en commun;Favoriser l'usage des transports collectifs;#2F4F4F;02-03-02_;PERENNISER;;;;;;;;;;;;;;;;;
Diminuer les déplacements;Réduire les déplacements;#FF69B4;03_;GENERAL;;;;;;;;;;;;;;;;;
Créer des bureaux partagés ou un tiers-lieu;Réduire les déplacements;#FF69B4;03-02-01_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Développer le télétravail;Réduire les déplacements;#FF69B4;03-02-01_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Mettre en place les visio-conférences;Réduire les déplacements;#FF69B4;03-02-02_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Proposer une solution de restauration sur place;Réduire les déplacements;#FF69B4;03-02-03_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Modifier l'organisation du travail;Réduire les déplacements;#FF69B4;03-02-04_;EXPERIMENTER;;;;;;;;;;;;;;;;;
Réduire l'impact des véhicules;Réduire l'impact des véhicules;#FF8C00;04_;GENERAL;;;;;;;;;;;;;;;;;
Développer le covoiturage;Réduire l'impact des véhicules;#FF8C00;04-A_;GENERAL;;;;;;;;;;;;;;;;;
