nbsal;access;ctxgeolib;pccycliste;g1;g2;g3;g4;PM
225;1;1.7;1;2;10;50;50;5
500;1;1.5;3;45;10;50;10;2
111;1;1.7;3;25;25;100;50;5
714;1;4.9;3;45;25;100;50;4
80;1;1.5;3;45;25;100;50;2
100;1;1.7;2;2;10;10;10;1
336;2;1.7;1;2;10;50;50;9
398;2;4.9;2.5;25;10;50;50;9
727;2;4.9;3;45;10;100;50;10
2489;2;1.7;4;45;45;50;50;8
270;2;1.7;4;45;45;100;50;10
605;2;1.7;3;45;25;50;100;9
277;2;4.9;0;75;10;50;50;7
410;2;1.7;2;45;45;100;50;9
447;2;1.7;3;75;25;100;100;6
4913;3;4.9;3;45;75;100;50;15
1073;3;4.9;3;25;25;100;50;7
57;3;4.9;4;100;25;100;50;11
2665;3;4.9;8;75;25;100;50;9
86;3;4.9;5;100;25;100;50;12
1489;3;4.9;3;45;45;100;100;10
86;3;4.9;3;100;25;100;100;15
100;3;4.9;100;100;100;100;100;33
